time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,94.2092112528147,4.22769188225702,1.5630968649283,
202526,Local authority,England,West Midlands,Walsall,Primary,94.5275128484623,3.34607109265007,2.12641605888765,
202526,Local authority,England,London,Bexley,Primary,95.2752346190434,3.38716937196214,1.33759600899441,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.9880836588664,3.87862651700369,1.13328982412995,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.5807988333732,3.49434671015476,0.924854456472028,
202526,Local authority,England,South West,Cornwall,Primary,94.6192584316507,4.09684749820998,1.28389407013927,
202526,Local authority,England,South East,Hampshire,Primary,95.4740482243715,3.59347210455568,0.93247967107286,
202526,Local authority,England,North East,Darlington,Primary,94.4103210734164,4.17519213735645,1.41448678922716,
202526,Local authority,England,South East,Slough,Primary,94.3540522456202,4.32584567345194,1.32010208092785,
202526,Local authority,England,North West,Sefton,Primary,94.8270640783221,3.66465727835409,1.50827864332378,
202526,Local authority,England,North West,Stockport,Primary,95.2648804131183,3.53850658763233,1.19661299924935,
202526,Local authority,England,London,Barnet,Primary,95.3679394093824,3.58313860171487,1.04892198890278,
202526,Local authority,England,North West,Wirral,Primary,94.6430794862251,3.85193953212793,1.50498098164702,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.7903231740326,3.77817721226264,1.43149961370481,
202526,Local authority,England,South East,Buckinghamshire,Primary,95.0135501355014,3.92069462983187,1.06575523466677,
202526,Local authority,England,North East,Sunderland,Primary,94.7563638671389,3.64157531012824,1.6020608227329,
202526,Local authority,England,London,Sutton,Primary,95.2504364906155,3.52314368285437,1.22641982653018,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.5992731999138,3.5056977302369,1.89502906984933,
202526,Local authority,England,London,Redbridge,Primary,94.5631839323836,3.87567071947679,1.56114534813961,
202526,Local authority,England,London,Greenwich,Primary,95.0886950891722,3.14392359077148,1.76738132005633,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.8145798585035,3.72536855130998,1.46005159018654,
202526,Local authority,England,South East,West Berkshire,Primary,95.1994814775353,3.88298870869134,0.917529813773316,
202526,Local authority,England,South West,Gloucestershire,Primary,95.0413064216278,3.93958716703901,1.0191064113332,
202526,Local authority,England,South West,Swindon,Primary,95.3047816437999,3.52768918106554,1.16752917513461,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.9613242294217,3.35265140127572,1.68602436930259,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,95.1483664090596,3.68027742144866,1.1713561694917,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.6583293565445,3.41706239071125,1.92460825274428,
202526,Local authority,England,North East,Hartlepool,Primary,94.8479364296581,3.55494764244991,1.59711592789199,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.6511478662065,3.47554985846437,1.87330227532917,
202526,Local authority,England,North West,Wigan,Primary,95.0086142644278,3.65485132874427,1.33653440682789,
202526,Local authority,England,South East,Southampton,Primary,94.3271106227918,3.93365102085045,1.7392383563577,
202526,Local authority,England,London,Croydon,Primary,94.7749950841523,3.70145720458317,1.52354771126456,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.4932278754255,3.45614524779342,1.05062687678106,
202526,Local authority,England,North West,Tameside,Primary,95.068049069732,3.19860644323175,1.73334448703628,
202526,Local authority,England,North West,Rochdale,Primary,94.6566113141999,3.30171842611685,2.04167025968323,
202526,Local authority,England,North West,Warrington,Primary,95.7599970093532,3.10655679173435,1.13344619891249,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.6192725035819,3.44009425866754,1.94063323775052,
202526,Local authority,England,East Midlands,Derbyshire,Primary,95.1024688506588,3.8018516034183,1.09567954592289,
202526,Local authority,England,South West,Wiltshire,Primary,95.3997856694232,3.6150590659366,0.985155264640206,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,95.4081542000962,3.8215805387323,0.770265261171511,
202526,Local authority,England,West Midlands,Shropshire,Primary,95.1410912311993,3.90535289660366,0.95355587219709,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.3070814463362,3.59318644031454,1.09973211334926,
202526,Local authority,England,South East,Milton Keynes,Primary,95.4440155607667,3.48922826640782,1.06675617282551,
202526,Local authority,England,East of England,Essex,Primary,94.7174020741224,3.90456085530952,1.37803707056809,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.9525692155745,3.41721395111321,1.63021683331234,
202526,Local authority,England,London,Lewisham,Primary,95.0233931135969,3.40929906088905,1.56730782551408,
202526,Local authority,England,London,Kingston upon Thames,Primary,95.5087433322348,3.12106339549016,1.37019327227506,
