time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,94.0639544393504,4.28318888837275,1.65285667227681,
202526,Local authority,England,West Midlands,Walsall,Primary,94.2843352195405,3.34303891846302,2.37262586199645,
202526,Local authority,England,London,Bexley,Primary,95.0016689361492,3.44767237269015,1.55065869116063,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.239972260786,3.71018667849636,1.04984106071761,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.6546635456337,3.98029761668057,1.36503883768577,
202526,Local authority,England,South West,Cornwall,Primary,94.5643615985324,4.05431475164027,1.38132364982733,
202526,Local authority,England,South East,Hampshire,Primary,95.1695723789309,3.75922756326966,1.07120005779947,
202526,Local authority,England,North East,Darlington,Primary,94.1929335545834,4.16094564336291,1.64612080205371,
202526,Local authority,England,South East,Slough,Primary,94.2355174750355,4.38169702304354,1.38278550192102,
202526,Local authority,England,North West,Stockport,Primary,95.1410472603719,3.52155528754362,1.33739745208443,
202526,Local authority,England,North West,Sefton,Primary,94.6723833413915,3.5927576543041,1.73485900430438,
202526,Local authority,England,London,Barnet,Primary,95.209814029235,3.62812566556793,1.16206030519707,
202526,Local authority,England,North West,Wirral,Primary,94.4421774172525,3.81756147441774,1.74026110832979,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.6197567764102,3.7504477519297,1.62979547166005,
202526,Local authority,England,South East,Buckinghamshire,Primary,94.8358991879335,4.01299146533437,1.15110934673209,
202526,Local authority,England,North East,Sunderland,Primary,94.6498073044371,3.55162253888726,1.79857015667565,
202526,Local authority,England,London,Sutton,Primary,94.9557748673551,3.64743362020148,1.39679151244346,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.3765237911145,3.48495417969837,2.13852202918708,
202526,Local authority,England,London,Redbridge,Primary,94.281364964767,4.0267037528839,1.69193128234915,
202526,Local authority,England,London,Greenwich,Primary,94.8050345776419,3.21212876839243,1.98283665396568,
202526,Local authority,England,South East,West Berkshire,Primary,94.9406454930475,3.94869881487769,1.11065569207482,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.6312775437265,3.65970735264858,1.70901510362495,
202526,Local authority,England,South West,Swindon,Primary,95.0391885122725,3.70788111537819,1.25293037234931,
202526,Local authority,England,South West,Gloucestershire,Primary,94.6747396915114,4.096826956659,1.22843335182961,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.7374791819236,3.33392555614778,1.9285952619286,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,94.8164838493552,3.82371944568379,1.35979670496106,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.526423218024,3.34415006260109,2.12942671937493,
202526,Local authority,England,North East,Hartlepool,Primary,94.7724886622011,3.46272057239751,1.7647907654014,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.3668782419013,3.47896298591611,2.15415877218256,
202526,Local authority,England,North West,Wigan,Primary,94.7866992133462,3.65302327692877,1.56027750972505,
202526,Local authority,England,South East,Southampton,Primary,94.1228585269512,3.93902660165522,1.9381148713936,
202526,Local authority,England,London,Croydon,Primary,94.5456297803047,3.75593069364642,1.6984395260489,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.4468534822983,3.39152529803414,1.16162121966755,
202526,Local authority,England,North West,Tameside,Primary,94.9194049266279,3.15068705080144,1.92990802257068,
202526,Local authority,England,North West,Rochdale,Primary,94.5461559182199,3.23105825860705,2.22278582317302,
202526,Local authority,England,North West,Warrington,Primary,95.6689184970222,3.06632244981699,1.26475905316084,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.4485584355584,3.34406316581182,2.20737839862974,
202526,Local authority,England,East Midlands,Derbyshire,Primary,94.9162618596677,3.81066832604142,1.27306981429085,
202526,Local authority,England,South West,Wiltshire,Primary,95.2110568061504,3.69670811837163,1.09223507547796,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,94.8967570518945,4.16715253251631,0.936090415589212,
202526,Local authority,England,West Midlands,Shropshire,Primary,94.8729507711377,3.96308328760851,1.16396594125379,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.1132808182896,3.6461370192949,1.24058216241554,
202526,Local authority,England,South East,Milton Keynes,Primary,95.2221492870328,3.55613903707059,1.22171167589656,
202526,Local authority,England,East of England,Essex,Primary,94.4581291027548,3.96169836555489,1.58017253169027,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.8436995077347,3.35242894332508,1.8038715489402,
202526,Local authority,England,London,Lewisham,Primary,94.7516337007993,3.50130634869303,1.74705995050766,
202526,Local authority,England,London,Kingston upon Thames,Primary,95.1983838249619,3.25292464243654,1.54869153260158,
