time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,93.9642871794726,4.43791044500046,1.59780237552696,
202526,Local authority,England,West Midlands,Walsall,Primary,94.4742506174318,3.44791698294947,2.07783239961876,
202526,Local authority,England,London,Bexley,Primary,95.2408789012589,3.46504863606317,1.29407246267798,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.6117054698692,3.53449142531605,0.853803104814725,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.9673272798,3.95240326390763,1.08026945629236,
202526,Local authority,England,South West,Cornwall,Primary,94.5666163219951,4.19257648613023,1.24080719187471,
202526,Local authority,England,South East,Hampshire,Primary,95.4664554465543,3.65545135919015,0.878093194255578,
202526,Local authority,England,South East,Slough,Primary,94.1890976512178,4.49986281292435,1.31103953585779,
202526,Local authority,England,North East,Darlington,Primary,94.3888616977723,4.26274622069131,1.34839208153641,
202526,Local authority,England,North West,Stockport,Primary,95.1832380015205,3.65457892940113,1.16218306907835,
202526,Local authority,England,North West,Sefton,Primary,94.8418119612765,3.75426025194935,1.4039277867741,
202526,Local authority,England,London,Barnet,Primary,95.2265476955188,3.74258218799467,1.03087011648657,
202526,Local authority,England,North West,Wirral,Primary,94.637095299759,3.94351439375504,1.41939030648592,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.7595154832497,3.87694490902641,1.36353960772389,
202526,Local authority,England,South East,Buckinghamshire,Primary,94.9544883130705,4.02370965277727,1.02180203415227,
202526,Local authority,England,North East,Sunderland,Primary,94.7778639987663,3.74264095703665,1.4794950441971,
202526,Local authority,England,London,Sutton,Primary,95.1526701251921,3.64194783807266,1.20538203673521,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.494827435099,3.60295686166861,1.90221570323236,
202526,Local authority,England,London,Redbridge,Primary,94.3290570278116,4.07704493740968,1.59389803477873,
202526,Local authority,England,London,Greenwich,Primary,94.9878918963905,3.25066623969432,1.76144186391523,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.7851478097494,3.86951293408939,1.34533925616117,
202526,Local authority,England,South East,West Berkshire,Primary,95.2436886173546,3.90806841651919,0.848242966126235,
202526,Local authority,England,South West,Gloucestershire,Primary,95.0567669867679,4.00711208480965,0.936120928422412,
202526,Local authority,England,South West,Swindon,Primary,95.2993515836098,3.60581378271488,1.09483463367528,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,95.1440475922085,3.74146113265398,1.11449127513752,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.8486670492607,3.49763281379017,1.65370013694918,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.5851433526321,3.56687780093281,1.84797884643512,
202526,Local authority,England,North East,Hartlepool,Primary,94.8446185798987,3.64079380648085,1.51458761362042,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.5069534614746,3.62285630776653,1.87019023075886,
202526,Local authority,England,North West,Wigan,Primary,94.9872080642814,3.73302387572673,1.27976805999188,
202526,Local authority,England,South East,Southampton,Primary,94.3425142931675,3.99708701984739,1.66039868698507,
202526,Local authority,England,London,Croydon,Primary,94.5925196756123,3.87199073649765,1.53548958789007,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.4443880594357,3.5624048502978,0.993207090266464,
202526,Local authority,England,North West,Tameside,Primary,94.9810583320463,3.35151372831731,1.6674279396364,
202526,Local authority,England,North West,Rochdale,Primary,94.6155756846978,3.445727922298,1.93869639300422,
202526,Local authority,England,North West,Warrington,Primary,95.6806425085271,3.22350547192277,1.0958520195501,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.6508245594062,3.51361221632283,1.83556322427099,
202526,Local authority,England,South West,Wiltshire,Primary,95.3464647522405,3.7270901104494,0.926445137310142,
202526,Local authority,England,East Midlands,Derbyshire,Primary,95.0702147162469,3.89654910375799,1.03323617999506,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,95.3790478444366,3.88080306078176,0.740149094781683,
202526,Local authority,England,West Midlands,Shropshire,Primary,95.1420024443673,3.96300398096321,0.894993574669534,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.2904625082434,3.66249442706427,1.04704306469237,
202526,Local authority,England,South East,Milton Keynes,Primary,95.3523823807158,3.6150619356626,1.03255568362157,
202526,Local authority,England,East of England,Essex,Primary,94.6906768181553,3.99474709125284,1.31457609059188,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.9591033057686,3.50870155888467,1.53219513534678,
202526,Local authority,England,London,Lewisham,Primary,94.9148436336643,3.52501202020135,1.56014434613438,
202526,Local authority,England,London,Kingston upon Thames,Primary,95.4428705846451,3.2507268858768,1.30640252947808,
202526,Local authority,England,South East,Portsmouth,Primary,94.9083386275908,3.69587775294564,1.39578361946351,
202526,Local authority,England,East Midlands,North Northamptonshire,Primary,94.6983242560727,4.0083461416327,1.29332960229459,
202526,Local authority,England,London,Richmond upon Thames,Primary,95.8367448945979,2.99482467655455,1.16843042884756,
202526,Local authority,England,North West,Cheshire East,Primary,95.4409753301559,3.71696233444664,0.842062335397416,
202526,Local authority,England,Yorkshire and The Humber,Bradford,Primary,94.1727675122315,3.83888794733898,1.98834454042949,
202526,Local authority,England,London,Newham,Primary,93.7385643415553,3.66324720889864,2.59818844954608,
202526,Local authority,England,East Midlands,West Northamptonshire,Primary,95.1713361623769,3.69170999746212,1.13695384016101,
202526,Local authority,England,North East,North Tyneside,Primary,95.0461051061042,3.55786659083657,1.39602830305919,
202526,Local authority,England,East of England,Peterborough,Primary,94.9349671022203,3.93093040786161,1.1341024899181,
202526,Local authority,England,London,Havering,Primary,94.9593339620603,4.02179623382823,1.01886980411143,
202526,Local authority,England,North West,Cheshire West and Chester,Primary,95.1793479404137,3.72519616180983,1.09545589777648,
202526,Local authority,England,London,Hounslow,Primary,94.4667315307975,3.82943050735239,1.70383796185007,
202526,Local authority,England,London,Brent,Primary,94.8402260135484,3.75684155130838,1.40293243514323,
202526,Local authority,England,London,Hackney,Primary,94.5456016936524,3.96477680888345,1.48962149746415,
202526,Local authority,England,London,Southwark,Primary,94.8591444103826,3.78874607897012,1.35210951064725,
202526,Local authority,England,West Midlands,Coventry,Primary,94.3838181985316,4.04970284604348,1.56647895542491,
202526,Local authority,England,Yorkshire and The Humber,North East Lincolnshire,Primary,94.804519722105,3.3340626847304,1.86141759316457,
202526,Local authority,England,North West,Knowsley,Primary,93.483861971633,3.5632910856833,2.95284694268367,
202526,Local authority,England,South West,Devon,Primary,94.8508188762733,4.13355466126099,1.01562646246571,
202526,Local authority,England,Yorkshire and The Humber,"Kingston upon Hull, City of",Primary,94.678687171239,3.5648296825836,1.75648314617737,
202526,Local authority,England,Yorkshire and The Humber,Barnsley,Primary,94.8516511490982,3.46734716938296,1.68100168151883,
202526,Local authority,England,Yorkshire and The Humber,Sheffield,Primary,94.3661458843224,3.71081199081513,1.92304212486249,
202526,Local authority,England,South West,Somerset,Primary,94.6656164033508,4.12089163193379,1.21349196471537,
202526,Local authority,England,East of England,Norfolk,Primary,94.7014100568006,4.03659297803476,1.26199696516463,
202526,Local authority,England,London,Wandsworth,Primary,94.8067891479966,3.75729817410268,1.43591267790069,
202526,Local authority,England,North West,Cumberland,Primary,95.1630405003695,3.8180107814586,1.01894871817193,
202526,Local authority,England,East Midlands,Derby,Primary,94.4194341760207,3.75638849776879,1.82417732621052,
202526,Local authority,England,Yorkshire and The Humber,Rotherham,Primary,94.595067732594,3.63781782157224,1.76711444583375,
202526,Local authority,England,South East,Wokingham,Primary,95.6520470357713,3.50623916134864,0.841713802880077,
202526,Local authority,England,East of England,Hertfordshire,Primary,95.0858233740301,3.94899718274222,0.965179443227683,
202526,Local authority,England,North West,Manchester,Primary,94.3388975870375,3.7430919158258,1.91801049713673,
202526,Local authority,England,North West,Bury,Primary,94.9019461901506,3.89648679681477,1.20156701303459,
202526,Local authority,England,South East,Oxfordshire,Primary,95.0981717428836,3.91432234854877,0.987505908567639,
202526,Local authority,England,London,Kensington and Chelsea,Primary,94.199579200981,4.49442969586497,1.305991103154,
202526,Local authority,England,North West,Liverpool,Primary,94.3965461748531,3.13540407663426,2.46804974851263,
202526,Local authority,England,North West,Lancashire,Primary,94.8841225214037,3.87777325295754,1.23810422563875,
202526,Local authority,England,North West,Salford,Primary,94.4058629012955,3.66030467048175,1.93383242822277,
202526,Local authority,England,North West,Halton,Primary,94.531809550777,3.85861010710062,1.60958034212236,
202526,Local authority,England,North West,Oldham,Primary,94.6949579133849,3.46361395938437,1.84142812723071,
202526,Local authority,England,East Midlands,Leicestershire,Primary,95.3661632855026,3.66150055197744,0.97233616251997,
202526,Local authority,England,Yorkshire and The Humber,North Yorkshire,Primary,95.1280442085104,3.77498049103321,1.09697530045642,
202526,Local authority,England,West Midlands,Birmingham,Primary,94.1956378785494,4.0351474770881,1.76921464436251,
202526,Local authority,England,East Midlands,Nottinghamshire,Primary,95.1802855365494,3.53386755346901,1.28584690998162,
202526,Local authority,England,London,Westminster,Primary,94.0314330272568,4.2261587022475,1.74240827049569,
202526,Local authority,England,London,Barking and Dagenham,Primary,94.5976185019006,3.80670189474185,1.59567960335752,
202526,Local authority,England,London,Enfield,Primary,94.5859936915661,3.82583966991587,1.58816663851806,
202526,Local authority,England,London,Bromley,Primary,95.3457635055978,3.56457182822473,1.08966466617745,
202526,Local authority,England,Yorkshire and The Humber,Calderdale,Primary,94.8847157376846,3.89545328282369,1.21983097949168,
202526,Local authority,England,North East,Middlesbrough,Primary,94.6652508537602,3.40226029153076,1.93248885470901,
202526,Local authority,England,West Midlands,Solihull,Primary,94.9410497842854,3.83137599742245,1.22757421829215,
202526,Local authority,England,South West,"Bristol, City of",Primary,94.3337478704497,4.0654590397971,1.60079308975316,
202526,Local authority,England,Yorkshire and The Humber,York,Primary,94.9247462513263,3.77041500670657,1.30483874196713,
202526,Local authority,England,South West,Plymouth,Primary,94.8897731431867,3.89055495374617,1.21967190306708,
202526,Local authority,England,North West,St. Helens,Primary,95.0295306701871,3.5184990939313,1.45197023588159,
202526,Local authority,England,South East,Isle of Wight,Primary,94.0000709478308,4.67991241167801,1.32001664049122,
202526,Local authority,England,London,Haringey,Primary,94.6649136927746,3.67034120449428,1.66474510273116,
202526,Local authority,England,North West,Blackpool,Primary,94.4041291614442,3.19125435414537,2.40461648441041,
202526,Local authority,England,East Midlands,Rutland,Primary,95.596739979904,3.75369188141322,0.649568138682798,
202526,Local authority,England,London,Merton,Primary,95.2947853342468,3.55226667245164,1.15294799330156,
202526,Local authority,England,South West,Dorset,Primary,94.6326508428017,4.08094898489947,1.28640017229889,
202526,Local authority,England,North West,Bolton,Primary,94.7508723591182,3.81478801797318,1.43433962290866,
202526,Local authority,England,South West,South Gloucestershire,Primary,95.130362930814,3.66472698120901,1.20491008797694,
202526,Local authority,England,South East,Medway,Primary,94.4891416584263,4.05582983542015,1.4550285061535,
202526,Local authority,England,West Midlands,Staffordshire,Primary,95.3257559466695,3.7311474795369,0.943096573793569,
202526,Local authority,England,South West,North Somerset,Primary,95.0595480814732,3.83796603940758,1.10248587911922,
202526,Local authority,England,Yorkshire and The Humber,Kirklees,Primary,94.8579856872313,3.86036637537545,1.28164793739327,
202526,Local authority,England,Yorkshire and The Humber,North Lincolnshire,Primary,94.8046962512594,3.63436205736407,1.56094169137649,
