time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,93.9701946317374,4.39418340321934,1.63562196504326,
202526,Local authority,England,West Midlands,Walsall,Primary,94.4785915384442,3.40812319156653,2.11328526998928,
202526,Local authority,England,London,Bexley,Primary,95.1990312834491,3.4648315559234,1.33613716062755,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.5851746760868,3.51966383484766,0.8951614890655,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.9625609340052,3.93754942168819,1.09988964430657,
202526,Local authority,England,South West,Cornwall,Primary,94.5808611253786,4.18678379766565,1.23235507695577,
202526,Local authority,England,South East,Hampshire,Primary,95.4619739637446,3.63704802892372,0.900978007331719,
202526,Local authority,England,South East,Slough,Primary,94.14892384987,4.47113412610757,1.37994202402247,
202526,Local authority,England,North East,Darlington,Primary,94.4056592846827,4.25114109918994,1.34319961612738,
202526,Local authority,England,North West,Stockport,Primary,95.1813708380307,3.62638511015066,1.19224405181866,
202526,Local authority,England,North West,Sefton,Primary,94.839812790838,3.72315126482408,1.43703594433791,
202526,Local authority,England,London,Barnet,Primary,95.2209705565612,3.70639343144501,1.07263601199379,
202526,Local authority,England,North West,Wirral,Primary,94.6221213129347,3.92289500337643,1.45498368368892,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.7517810496874,3.84952276312842,1.39869618718417,
202526,Local authority,England,South East,Buckinghamshire,Primary,94.9297915326696,4.00018724285333,1.07002122447703,
202526,Local authority,England,North East,Sunderland,Primary,94.7908890303236,3.73187828018476,1.4772326894916,
202526,Local authority,England,London,Sutton,Primary,95.1278858783703,3.62790168013212,1.24421244149757,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.4491882631278,3.61754951046007,1.93326222641209,
202526,Local authority,England,London,Redbridge,Primary,94.3260624869937,4.04138385037927,1.63255366262706,
202526,Local authority,England,London,Greenwich,Primary,94.9658863069223,3.23988625215138,1.79422744092636,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.8115597476027,3.81500331366835,1.37343693872897,
202526,Local authority,England,South East,West Berkshire,Primary,95.226344955337,3.90264398262405,0.871011062038931,
202526,Local authority,England,South West,Swindon,Primary,95.2982930646737,3.55821528902111,1.14349164630519,
202526,Local authority,England,South West,Gloucestershire,Primary,95.0484054093705,3.98882844827535,0.96276614235411,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.9015798164423,3.42632916767994,1.67209101587774,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,95.1331762016067,3.73143297397329,1.13539082441997,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.6128790833332,3.55121352254732,1.83590739411948,
202526,Local authority,England,North East,Hartlepool,Primary,94.8684537105982,3.62759027661698,1.50395601278486,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.5268773953159,3.57385502279053,1.89926758189354,
202526,Local authority,England,North West,Wigan,Primary,95.0142496986648,3.72748160895109,1.25826869238416,
202526,Local authority,England,South East,Southampton,Primary,94.3327684298214,3.97426430760304,1.69296726257554,
202526,Local authority,England,London,Croydon,Primary,94.6209775144742,3.82764793004855,1.55137455547723,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.4728270844696,3.51622263857044,1.01095027695995,
202526,Local authority,England,North West,Tameside,Primary,95.0044228854638,3.29300626698396,1.70257084755226,
202526,Local authority,England,North West,Rochdale,Primary,94.6312999120101,3.42937972667431,1.93932036131562,
202526,Local authority,England,North West,Warrington,Primary,95.7301906571189,3.20445045176112,1.06535889112002,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.6645280062968,3.52003882510539,1.81543316859783,
202526,Local authority,England,East Midlands,Derbyshire,Primary,95.0957670273605,3.85366491547098,1.05056805716848,
202526,Local authority,England,South West,Wiltshire,Primary,95.3552837442492,3.69406170491477,0.950654550836017,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,95.3897772421263,3.86493592160504,0.74528683626864,
202526,Local authority,England,West Midlands,Shropshire,Primary,95.1665743004417,3.93009792055516,0.903327779003149,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.2673660790526,3.65605449824852,1.07657942269892,
202526,Local authority,England,South East,Milton Keynes,Primary,95.3531452545518,3.58558122439466,1.06127352105353,
202526,Local authority,England,East of England,Essex,Primary,94.6922791336868,3.970732573021,1.33698829329224,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.9601457929704,3.51023706102132,1.52961714600824,
