time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,93.8689650812142,4.46475493854833,1.66627998023751,
202526,Local authority,England,West Midlands,Walsall,Primary,94.4764274856443,3.41284450744335,2.11072800691237,
202526,Local authority,England,London,Bexley,Primary,95.1448246447706,3.52090338512561,1.3342719701038,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.8871883167249,4.01427123819615,1.098540445079,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.5631508799164,3.55400797676787,0.882841143315762,
202526,Local authority,England,South West,Cornwall,Primary,94.5046785791655,4.24048449611172,1.25483692472281,
202526,Local authority,England,South East,Hampshire,Primary,95.421357237567,3.6863806854885,0.892262076944476,
202526,Local authority,England,South East,Slough,Primary,94.3425289615438,4.31553094449637,1.3419400939598,
202526,Local authority,England,North East,Darlington,Primary,94.2743011196453,4.34631956583286,1.37937931452187,
202526,Local authority,England,North West,Sefton,Primary,94.7834623897025,3.79994458201919,1.41659302827831,
202526,Local authority,England,North West,Stockport,Primary,95.1269424444394,3.67517997554579,1.1978775800148,
202526,Local authority,England,London,Barnet,Primary,95.2997947805624,3.6459164519191,1.05428876751845,
202526,Local authority,England,North West,Wirral,Primary,94.5414500640504,3.9953705093777,1.46317942657193,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.7121157053757,3.91579753506273,1.37208675956153,
202526,Local authority,England,South East,Buckinghamshire,Primary,94.9556084960697,3.99030064109445,1.0540908628359,
202526,Local authority,England,North East,Sunderland,Primary,94.6949141456175,3.80725786989108,1.4978279844914,
202526,Local authority,England,London,Sutton,Primary,95.1507172673841,3.63278089921129,1.21650183340458,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.4575083764849,3.62212262303642,1.92036900047866,
202526,Local authority,England,London,Redbridge,Primary,94.5528291432941,3.80968460659489,1.63748625011103,
202526,Local authority,England,London,Greenwich,Primary,94.9357629917139,3.25106466905975,1.81317233922632,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.6983190727792,3.91590009905907,1.38578082816174,
202526,Local authority,England,South East,West Berkshire,Primary,95.2041919089905,3.93743393010635,0.858374160903136,
202526,Local authority,England,South West,Gloucestershire,Primary,95.0154289669696,4.02385872894877,0.960712304081659,
202526,Local authority,England,South West,Swindon,Primary,95.2353070015788,3.64437540013017,1.12031759829103,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.8650810111205,3.44592815590213,1.68899083297739,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,95.138514535895,3.72910261812978,1.13238284597523,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.5592815908279,3.55851702914769,1.88220138002439,
202526,Local authority,England,North East,Hartlepool,Primary,94.8145462040259,3.67281346297936,1.51264033299473,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.5592661824219,3.54165215811685,1.89908165946121,
202526,Local authority,England,North West,Wigan,Primary,94.8566616477603,3.80270283658449,1.34063551565519,
202526,Local authority,England,South East,Southampton,Primary,94.319783022305,4.00932680241266,1.67089017528235,
202526,Local authority,England,London,Croydon,Primary,94.5564453841694,3.86149608008338,1.58205853574725,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.3546921468447,3.61703775428366,1.02827009887162,
202526,Local authority,England,North West,Tameside,Primary,94.9500199895738,3.34169168907646,1.70828832134972,
202526,Local authority,England,North West,Rochdale,Primary,94.6107116110721,3.41513938353603,1.97414900539186,
202526,Local authority,England,North West,Warrington,Primary,95.5840968800016,3.28846773655973,1.12743538343867,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.5243275121123,3.58280214338319,1.89287034450455,
202526,Local authority,England,South West,Wiltshire,Primary,95.264731275137,3.78493392681827,0.950334798044737,
202526,Local authority,England,East Midlands,Derbyshire,Primary,94.9628631662229,3.97069653156406,1.06644030221303,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,95.3319148976517,3.91686411936098,0.751220982987305,
202526,Local authority,England,West Midlands,Shropshire,Primary,95.0352386085362,4.04940282351188,0.915358567951907,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.2606829280918,3.66875368295229,1.07056338895595,
202526,Local authority,England,South East,Milton Keynes,Primary,95.3596958706437,3.57086480921901,1.06943932013729,
202526,Local authority,England,East of England,Essex,Primary,94.6212029854225,4.03404962530211,1.34474738927538,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.9363151570383,3.49756743312679,1.56611740983495,
202526,Local authority,England,London,Lewisham,Primary,94.8570363014626,3.55227010772071,1.59069359081671,
202526,Local authority,England,London,Kingston upon Thames,Primary,95.4568711434647,3.22279208563883,1.32033677089652,
202526,Local authority,England,East Midlands,North Northamptonshire,Primary,94.6261623836325,4.05030434612841,1.32353327023907,
202526,Local authority,England,South East,Portsmouth,Primary,94.9292636537256,3.66244481356392,1.40829153271043,
202526,Local authority,England,London,Richmond upon Thames,Primary,95.7964185176927,3.01756705332515,1.18601442898213,
202526,Local authority,England,North West,Cheshire East,Primary,95.3312435313146,3.79929998692516,0.869456481760191,
202526,Local authority,England,Yorkshire and The Humber,Bradford,Primary,94.1009792655265,3.87624205057339,2.02277868390011,
202526,Local authority,England,London,Newham,Primary,93.8741274913973,3.38896703047083,2.73690547813183,
202526,Local authority,England,East Midlands,West Northamptonshire,Primary,95.1426026221215,3.70019790534202,1.15719947253646,
