time_period,geographic_level,country_name,region_name,la_name,school_type,attendance_perc,authorised_absence_perc,unauthorised_absence_perc,pa_perc
202526,Local authority,England,London,Tower Hamlets,Primary,94.1106799906907,4.28757981461054,1.60174019469877,
202526,Local authority,England,West Midlands,Walsall,Primary,94.3467261227046,3.37200483938355,2.2812690379118,
202526,Local authority,England,London,Bexley,Primary,95.0441273423004,3.46964609769525,1.48622656000435,
202526,Local authority,England,South East,Bracknell Forest,Primary,95.309230565488,3.67934574573267,1.01142368877931,
202526,Local authority,England,West Midlands,Warwickshire,Primary,94.7201919090779,3.98669179028893,1.29311630063319,
202526,Local authority,England,South West,Cornwall,Primary,94.5467845737647,4.08970209684129,1.36351332939403,
202526,Local authority,England,South East,Hampshire,Primary,95.1663950583183,3.78775225404569,1.04585268763602,
202526,Local authority,England,South East,Slough,Primary,94.2694428054055,4.40016397936104,1.33039321523343,
202526,Local authority,England,North East,Darlington,Primary,94.3013422795828,4.16276038102537,1.53589733939178,
202526,Local authority,England,North West,Stockport,Primary,95.1906792859391,3.5510829128578,1.2582378012031,
202526,Local authority,England,North West,Sefton,Primary,94.7157677576625,3.63460495851758,1.64962728381991,
202526,Local authority,England,London,Barnet,Primary,95.3035062416531,3.61126314652261,1.08523061182427,
202526,Local authority,England,North West,Wirral,Primary,94.4644202456831,3.87181464817869,1.66376510613821,
202526,Local authority,England,East of England,Southend-on-Sea,Primary,94.6359638033431,3.79742254888022,1.56661364777667,
202526,Local authority,England,South East,Buckinghamshire,Primary,94.8543318515918,4.02783577970178,1.11783236870642,
202526,Local authority,England,North East,Sunderland,Primary,94.6549125064285,3.59482478063874,1.75026271293272,
202526,Local authority,England,London,Sutton,Primary,95.0219360530522,3.65738448897085,1.32067945797694,
202526,Local authority,England,West Midlands,Wolverhampton,Primary,94.4565922548096,3.49979756898555,2.0436101762049,
202526,Local authority,England,London,Redbridge,Primary,94.3494224268864,4.02854936763036,1.62202820548324,
202526,Local authority,England,London,Greenwich,Primary,94.9113585975556,3.20839112120699,1.88025028123737,
202526,Local authority,England,Yorkshire and The Humber,Wakefield,Primary,94.672277164288,3.70918639588691,1.61853643982506,
202526,Local authority,England,South East,West Berkshire,Primary,94.9477797999641,3.98176032369003,1.07045987634586,
202526,Local authority,England,South West,Swindon,Primary,95.0455464133836,3.73674012330283,1.21771346331355,
202526,Local authority,England,South West,Gloucestershire,Primary,94.7247767301459,4.12710505529722,1.14811821455688,
202526,Local authority,England,West Midlands,Stoke-on-Trent,Primary,94.8214563851878,3.3632172470351,1.81532636777708,
202526,Local authority,England,East of England,Central Bedfordshire,Primary,94.8392892323583,3.85696113349229,1.30374963414941,
202526,Local authority,England,North East,Hartlepool,Primary,94.7680908107949,3.52654042205762,1.70536876714747,
202526,Local authority,England,Yorkshire and The Humber,Leeds,Primary,94.5744070840982,3.38584249259646,2.03975042330533,
202526,Local authority,England,West Midlands,Sandwell,Primary,94.4296238548022,3.51100545794816,2.05937068724961,
202526,Local authority,England,North West,Wigan,Primary,94.8487219353027,3.68892899759148,1.46234906710582,
202526,Local authority,England,South East,Southampton,Primary,94.1704259776139,3.97213711748908,1.85743690489706,
202526,Local authority,England,London,Croydon,Primary,94.6265833347943,3.75238193253652,1.62103473266913,
202526,Local authority,England,North West,Westmorland and Furness,Primary,95.454929289896,3.42999915069515,1.11507155940887,
202526,Local authority,England,North West,Tameside,Primary,94.9751349046501,3.18414276123425,1.8407223341156,
202526,Local authority,England,North West,Rochdale,Primary,94.5877875257736,3.27480299333464,2.1374094808918,
202526,Local authority,England,North West,Warrington,Primary,95.6797278275486,3.09705453467274,1.2232176377787,
202526,Local authority,England,North East,Redcar and Cleveland,Primary,94.4569897770787,3.40169639870723,2.14131382421403,
202526,Local authority,England,East Midlands,Derbyshire,Primary,94.9306261448522,3.84763709273368,1.22173676241417,
202526,Local authority,England,South West,Wiltshire,Primary,95.1986981774815,3.73738256631594,1.06391925620253,
202526,Local authority,England,West Midlands,"Herefordshire, County of",Primary,94.9173593015958,4.22433492102739,0.858305777376854,
202526,Local authority,England,West Midlands,Shropshire,Primary,94.9060123084256,3.99183159400002,1.10215609757434,
202526,Local authority,England,South West,"Bournemouth, Christchurch and Poole",Primary,95.0981241106793,3.69219941666497,1.20967647265577,
202526,Local authority,England,South East,Milton Keynes,Primary,95.2900203681824,3.56134177161225,1.14863786020533,
202526,Local authority,England,East of England,Essex,Primary,94.4925788109616,3.98781840951639,1.51960277952198,
202526,Local authority,England,North East,Stockton-on-Tees,Primary,94.8873022356239,3.38348834036528,1.72920942401079,
202526,Local authority,England,London,Kingston upon Thames,Primary,95.2997888474659,3.22985927434805,1.47035187818607,
202526,Local authority,England,London,Lewisham,Primary,94.8745879880167,3.47391785009929,1.65149416188403,
202526,Local authority,England,East Midlands,North Northamptonshire,Primary,94.541035131111,3.97711738828487,1.48184748060408,
202526,Local authority,England,South East,Portsmouth,Primary,94.5463938043565,3.82914424622991,1.62446194941361,
202526,Local authority,England,London,Richmond upon Thames,Primary,95.7126702782901,3.00346285105135,1.2838668706586,
202526,Local authority,England,Yorkshire and The Humber,Bradford,Primary,94.207564821068,3.66028726139027,2.13214791754169,
202526,Local authority,England,North West,Cheshire East,Primary,95.4083326621174,3.60035552591799,0.991311811964627,
202526,Local authority,England,London,Newham,Primary,94.0499330845445,3.4377548977048,2.5123120177507,
202526,Local authority,England,East Midlands,West Northamptonshire,Primary,94.9479916711896,3.72228005553895,1.32972827327146,
202526,Local authority,England,North East,North Tyneside,Primary,94.9133681735157,3.42131884037434,1.66531298610992,
202526,Local authority,England,East of England,Peterborough,Primary,94.8591341952914,3.90364618361462,1.23721962109397,
202526,Local authority,England,London,Havering,Primary,94.8283067433804,3.99783197924431,1.17386127737531,
202526,Local authority,England,North West,Cheshire West and Chester,Primary,95.0388749043333,3.65521048252278,1.30591461314393,
202526,Local authority,England,London,Hounslow,Primary,94.4278209075147,3.87635814635453,1.69582094613076,
202526,Local authority,England,London,Brent,Primary,94.9091399402422,3.71151153687668,1.37934852288109,
